A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
688001,-,华兴源创,苏州华兴源创科技,"SUZHOU HYC TECHNOLOGY CO.,LTD",20190722
688002,-,睿创微纳,睿创微纳,"RAYTRON TECHNOLOGY CO.,LTD.",20190722
688003,-,天准科技,天准科技,"SUZHOU TZTEK TECHNOLOGY CO., LTD",20190722
688004,-,博汇科技,北京博汇科技,"BEIJING BOHUI SCIENCE & TECHNOLOGY CO.,LTD",20200612
688005,-,容百科技,容百科技,"Ningbo Ronbay New Energy Technology Co.,Ltd.",20190722
688006,-,杭可科技,浙江杭可科技,Zhejiang HangKe Technology Incorporated Company,20190722
688007,-,光峰科技,光峰科技,Appotronics Corporation Limited,20190722
688008,-,澜起科技,澜起科技,"MONTAGE TECHNOLOGY CO., LTD.",20190722
688009,-,中国通号,中国通号,China Railway Signal & Communication Corporation Limited,20190722
688010,-,福光股份,福光股份,"Fujian Forecam Optics Co.,Ltd.",20190722
688011,-,新光光电,新光光电科技股份,"Harbin Xinguang Optic-Electronics Technology Co.,Ltd.",20190722
688012,-,中微公司,中微半导体设备,Advanced Micro-Fabrication Equipment Inc. China,20190722
688013,-,天臣医疗,天臣国际医疗科技,"Touchstone International Medical Science Co., Ltd.",20200928
688015,-,交控科技,交控科技,"Traffic Control Technology Co., Ltd.",20190722
688016,-,心脉医疗,心脉医疗,"Shanghai Microport Endovascular Medtech(Group) Co.,Ltd.",20190722
688017,-,绿的谐波,绿的谐波,"LEADER HARMONIOUS DRIVE SYSTEMS CO., LTD",20200828
688018,-,乐鑫科技,乐鑫科技,"Espressif Systems (Shanghai) Co., Ltd.",20190722
688019,-,安集科技,安集科技,"Anji Microelectronics Technology (Shanghai) Co., Ltd.",20190722
688020,-,方邦股份,方邦股份,"GUANGZHOU FANGBANG ELECTRONICS CO.,LTD",20190722
688021,-,奥福环保,奥福环保,"Aofu Environmental Technology Co., Ltd.",20191106
688022,-,瀚川智能,瀚川智能,"Suzhou Harmontronics Automation Technology Co.,Ltd",20190722
688023,-,安恒信息,安恒信息,"DBAPPSecurity Co., Ltd.",20191105
688025,-,杰普特,杰普特光电,"Shenzhen JPT Opto-Electronics Co., Ltd.",20191031
688026,-,洁特生物,洁特生物股份,"Guangzhou Jet Biofiltration Co.,Ltd",20200122
688027,-,国盾量子,科大国盾量子,"Quantumctek Co., Ltd.",20200709
688028,-,沃尔德,沃尔德金刚石,"Beijing Worldia Diamond Tools Co.,Ltd.",20190722
688029,-,南微医学,南微医学科技,"Micro-Tech (Nanjing) Co.,Ltd",20190722
688030,-,山石网科,山石网科,"Hillstone Networks Co., Ltd.",20190930
688031,-,星环科技,星环科技,"TRANSWARP TECHNOLOGY(SHANGHAI)CO.,LTD.",20221018
688032,-,禾迈股份,禾迈股份,HOYMILES POWER ELECTRONICS INC.,20211220
688033,-,天宜上佳,天宜上佳,"Beijing Tianyishangjia New Material Corp., Ltd.",20190722
688035,-,德邦科技,德邦科技股份,"DARBOND TECHNOLOGY CO., LTD",20220919
688036,-,传音控股,传音控股,"Shenzhen Transsion Holdings Co., Ltd.",20190930
688037,-,芯源微,芯源微电子,"Kingsemi Co.,Ltd.",20191216
688038,-,中科通达,武汉中科通达,"Wuhan Citms Technology Co.,Ltd",20210713
688039,-,当虹科技,当虹科技,"Hangzhou Arcvideo Technology Co., Ltd.",20191211
688041,-,海光信息,海光信息,"HYGON INFORMATION TECHNOLOGY CO., LTD.",20220812
688045,-,必易微,必易微电子,"SHENZHEN KIWI INSTRUMENTS CO., LTD.",20220526
688046,-,药康生物,药康生物,"GEMPHARMATECH CO., LTD.",20220425
688047,-,龙芯中科,龙芯中科,LOONGSON TECHNOLOGY CORPORATION LIMITED,20220624
688048,-,长光华芯,长光华芯,"SUZHOU EVERBRIGHT PHOTONICS CO., LTD.",20220401
688049,-,炬芯科技,炬芯科技,"ACTIONS TECHNOLOGY CO., LTD.",20211129
688050,-,爱博医疗,爱博诺德医疗,"Eyebright Medical Technology (Beijing) Co., Ltd.",20200729
688051,-,佳华科技,罗克佳华科技,"Rockontrol Technology Group Co.,Ltd.",20200320
688052,-,纳芯微,纳芯微电子,"SUZHOU NOVOSENSE MICROELECTRONICS CO., LTD.",20220422
688053,-,思科瑞,思科瑞微电子,"CHENGDU SCREEN MICRO-ELECTRONICS CO.,LTD.",20220708
688055,-,龙腾光电,昆山龙腾光电,"InfoVision Optoelectronics( Kunshan) Co., Ltd.",20200817
688056,-,莱伯泰科,莱伯泰科仪器,"Beijing LabTech Instruments Co., Ltd.",20200902
688057,-,金达莱,金达莱环保,Jiangxi Jdl Environmental Protection Co. Ltd.,20201111
688058,-,宝兰德,宝兰德软件,Beijing Baolande Software Corporation.,20191101
688059,-,华锐精密,株洲华锐精密,"ZHUZHOU HUARUI PRECISION CUTTING TOOLS.CO.,LTD.",20210208
688060,-,云涌科技,江苏云涌电子科技,"Jiangsu Yunyong Electronics and Technology Co.,Ltd",20200710
688061,-,灿瑞科技,灿瑞科技,"SHANGHAI ORIENT-CHIP TECHNOLOGY CO.,LTD.",20221018
