板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
创业板,青岛特锐德电气股份有限公司,"Qingdao TGOOD Electric Co.,Ltd.",山东省青岛市崂山区松岭路336号,300001,特锐德,2009-10-30,"1,055,897,713","1,027,946,320",,,,0,0,华东,山东,青岛市,C 制造业,www.tgood.cn,-,-,-
创业板,北京神州泰岳软件股份有限公司,"Beijing Ultrapower Software Co., LTD",北京市海淀区海淀大街34号8层818室,300002,神州泰岳,2009-10-30,"1,961,091,984","1,819,194,037",,,,0,0,华北,北京,北京市,I 信息技术,www.ultrapower.com.cn,-,-,-
创业板,乐普（北京）医疗器械股份有限公司,"Lepu Medical Technology (Beijing) Co.,Ltd.",北京市昌平区超前路37号,300003,乐普医疗,2009-10-30,"1,880,610,317","1,616,097,655",,,,0,0,华北,北京,北京市,C 制造业,www.lepumedical.com,-,-,-
创业板,南方风机股份有限公司,"NanFang Ventilator Co., Ltd.",广东省佛山市南海区小塘三环西路（狮南段）31号,300004,南风股份,2009-10-30,"479,993,598","477,553,715",,,,0,0,华南,广东,佛山市,C 制造业,www.ntfan.com,-,-,-
创业板,探路者控股集团股份有限公司,"Toread  Holdings Group  Co., Ltd.",北京市昌平区科技园区永安路26号609-06,300005,探路者,2009-10-30,"883,702,186","883,702,186",,,,0,0,华北,北京,北京市,C 制造业,www.toread.com.cn,-,-,-
创业板,重庆莱美药业股份有限公司,"Chongqing Lummy Pharmaceutical Co.,Ltd.",重庆市南岸区玉马路99号,300006,莱美药业,2009-10-30,"1,055,911,205","812,152,773",,,,0,0,西南,重庆,重庆市,C 制造业,www.cqlummy.com,-,-,-
创业板,汉威科技集团股份有限公司,Hanwei Electronics Group Corporation,河南省郑州高新技术开发区雪松路169号,300007,汉威科技,2009-10-30,"326,272,755","282,015,502",,,,0,0,华中,河南,郑州市,C 制造业,www.hanwei.cn,-,-,-
创业板,天海融合防务装备技术股份有限公司,"BESTWAY MARINE & ENERGY TECHNOLOGY CO., LTD.",上海市松江区莘砖公路518号10幢8层,300008,天海防务,2009-10-30,"1,728,029,133","1,431,170,071",,,,0,0,华东,上海,上海市,E 建筑业,www.bestwaysh.com,-,-,-
创业板,安徽安科生物工程(集团)股份有限公司,"ANHUI ANKE BIOTECHNOLOGY (GROUP)CO.,LTD.",安徽省合肥市长江西路669号高新区海关路K-1,300009,安科生物,2009-10-30,"1,673,257,958","1,209,222,205",,,,0,0,华东,安徽,合肥市,C 制造业,www.ankebio.com,-,-,-
创业板,豆神教育科技（北京）股份有限公司,DOUSHEN(BEIJING) EDUCATION &TECHNOLOGY INC.,北京市门头沟区石龙南路6号1幢6-206室,300010,*ST豆神,2009-10-30,"868,324,647","821,720,376",,,,0,0,华北,北京,北京市,I 信息技术,www.lanxum.com,-,-,-
创业板,北京鼎汉技术集团股份有限公司,"Beijing Dinghan Technology Group Co.,Ltd.",北京市丰台区南四环西路188号十八区2号楼（园区）,300011,鼎汉技术,2009-10-30,"558,650,387","500,792,001",,,,0,0,华北,北京,北京市,C 制造业,www.dinghantech.com,-,-,-
创业板,华测检测认证集团股份有限公司,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",广东省深圳市宝安区新安街道兴东社区华测检测大楼1号楼101,300012,华测检测,2009-10-30,"1,682,828,214","1,531,244,949",,,,0,0,华南,广东,深圳市,M 科研服务,www.cti-cert.com,-,-,-
创业板,河南新宁现代物流股份有限公司,"HENAN XINNING MODERN LOGISTICS CO.,LTD.",河南自贸试验区郑州片区(经开)第八大街160号附60号728室,300013,新宁物流,2009-10-30,"446,687,115","446,007,615",,,,0,0,华中,河南,郑州市,G 运输仓储,www.xinning.com.cn,-,-,-
创业板,惠州亿纬锂能股份有限公司,"EVE Energy Co., Ltd.",广东省惠州市仲恺高新区惠风七路38号,300014,亿纬锂能,2009-10-30,"2,045,721,497","1,861,566,272",,,,0,0,华南,广东,惠州市,C 制造业,www.evebattery.com,-,-,-
创业板,爱尔眼科医院集团股份有限公司,"Aier Eye Hospital Group Co.,Ltd.",湖南省长沙市天心区芙蓉南路一段188号爱尔大厦,300015,爱尔眼科,2009-10-30,"9,328,411,413","7,878,557,020",,,,0,0,华中,湖南,长沙市,Q 卫生,www.aierchina.com,-,-,-
创业板,北京北陆药业股份有限公司,"Beijing Beilu Pharmaceutical Co.,Ltd",北京市密云区水源西路3号,300016,北陆药业,2009-10-30,"491,934,152","491,170,577",,,,0,0,华北,北京,北京市,C 制造业,www.beilu.com.cn,-,-,-
创业板,网宿科技股份有限公司,"Wangsu Science & Technology Co.,Ltd.",上海市嘉定环城路200号,300017,网宿科技,2009-10-30,"2,437,304,195","2,274,462,509",,,,0,0,华东,上海,上海市,I 信息技术,www.wangsu.com,-,-,-
