Date,gcny10yr:gov,Stock:Close:02800,Stock:Divident:02800,Stock:pd:02800,usdcny:cur,usgg10yr:ind
121001,3.57,22.2,0.64,2.8829,6.2405,1.694
121101,3.57,22.25,0.66,2.9663,6.213,1.613
121201,3.575,22.85,0.66,2.8884,6.223,1.757
130101,3.6,23.95,0.66,2.7557,6.2093,1.985
130201,3.6,23.2,0.66,2.8448,6.2188,1.881
130301,3.444,22.6,0.66,2.9204,6.203,1.8486
130401,3.427,22.85,0.67,2.9322,6.1623,1.673
130501,3.445,22.7,0.67,2.9515,6.147,2.132
130601,3.6,21.35,0.67,3.1382,6.1333,2.487
130701,3.6,22.4,0.67,2.9911,6.1309,2.588
130801,4.05,22.3,0.67,3.0045,6.115,2.789
130901,4.05,23.6,0.67,2.839,6.1158,2.615
131001,4.22,23.35,0.73,3.1263,6.0899,2.543
131101,4.397,24.1,0.73,3.029,6.0839,2.741
131201,4.63,23.45,0.73,3.113,6.0562,3.006
140101,4.549,22.2,0.73,3.2883,6.0341,2.666
140201,4.42,23,0.73,3.1739,6.1194,2.66
140301,4.48,22.4,0.73,3.2589,6.2141,2.724
140401,4.33,22.25,0.73,3.2809,6.251,2.648
140501,4.16,23.5,0.73,3.1064,6.246,2.457
140601,4.06,23.75,0.73,3.0737,6.2041,2.516
140701,4.298,25.55,0.73,2.8571,6.1796,2.558
140801,4.248,25.55,0.73,2.8571,6.1484,2.345
140901,4.028,23.8,0.73,3.0672,6.1782,2.508
141001,3.786,24.2,0.84,3.4711,6.1268,2.335
141101,3.546,24.2,0.84,3.4711,6.1599,2.196
141201,3.648,23.9,0.84,3.5146,6.2158,2.174
150101,3.514,24.75,0.84,3.3939,6.2823,1.68
150201,3.375,25.1,0.84,3.3466,6.285,2.002
150301,3.623,25.3,0.84,3.3202,6.2051,1.934
150401,3.422,28.35,0.8699999999999999,3.0688,6.2072,2.044
150501,3.591,27.8,0.8699999999999999,3.1295,6.2027,2.095
150601,3.629,26.85,0.8699999999999999,3.2402,6.2057,2.333
150701,3.474,25.2,0.8699999999999999,3.4524,6.2205,2.205
150801,3.394,22.35,0.8699999999999999,3.8926,6.4409,2.2
150901,3.276,21.6,0.8699999999999999,4.0278,6.3626,2.06
151001,3.087,22.85,0.81,3.5449,6.32,2.151
