Date,Stock:Close:00003,Stock:Close:00101,Stock:Close:00338,Stock:Close:01083,Stock:Close:02800,Stock:Divident:00003,Stock:Divident:00101,Stock:Divident:00338,Stock:Divident:01083,Stock:Divident:02800,Stock:pd:00003,Stock:pd:00101,Stock:pd:00338,Stock:pd:01083,Stock:pd:02800
121001,7.1114,16.8029,0.9155,4.6207,22.2,0,0,0,0,0.64,0,0,0,0,2.8829
121101,7.3026,18.0076,0.8957,4.9246,22.25,0,0,0,0,0.66,0,0,0,0,2.9663
121201,7.3548,19.5294,1.0938,4.8411,22.85,0,0,0,0,0.66,0,0,0,0,2.8884
130101,7.6504,18.5466,1.1414,4.8639,23.95,0,0,0,0,0.66,0,0,0,0,2.7557
130201,7.546,19.0539,1.3475,5.1754,23.2,0,0,0,0,0.66,0,0,0,0,2.8448
130301,7.8764,18.3881,1.3515,5.449,22.6,0,0,0,0,0.66,0,0,0,0,2.9204
130401,8.1198,19.5167,1.0582,5.6694,22.85,0,0.57,0,0,0.67,0,2.9206,0,0,2.9322
130501,7.6504,17.6426,1.1295,6.057,22.7,0,0.57,0,0,0.67,0,3.2308,0,0,2.9515
130601,7.3306,17.481,1.0304,5.9114,21.35,0.23,0.57,0,0.06,0.67,3.1375,3.2607,0,1.015,3.1382
130701,7.6863,16.2532,0.9472,5.7659,22.4,0.23,0.57,0,0.06,0.67,2.9923,3.507,0,1.0406,2.9911
130801,6.9285,15.6715,1.1018,5.5898,22.3,0.23,0.57,0,0.06,0.67,3.3196,3.6372,0,1.0734,3.0045
130901,7.262,17.1739,1.1454,5.406,23.6,0.35,0.74,0,0.06,0.67,4.8196,4.3089,0,1.1099,2.839
131001,7.0518,16.621,1.2456,5.8502,23.35,0.35,0.74,0.05,0.06,0.73,4.9633,4.4522,4.0141,1.0256,3.1263
131101,7.1141,16.9462,1.3914,6.6082,24.1,0.35,0.74,0.05,0.06,0.73,4.9198,4.3668,3.5935,0.908,3.029
131201,6.9195,15.9379,1.3549,6.8839,23.45,0.35,0.74,0.05,0.06,0.73,5.0582,4.643,3.6903,0.8716,3.113
140101,6.219,14.0189,1.3367,6.9451,22.2,0.35,0.74,0.05,0.06,0.73,5.6279,5.2786,3.7406,0.8639,3.2883
140201,6.507,14.0189,1.4096,7.619,23,0.35,0.74,0.05,0.06,0.73,5.3788,5.2786,3.5471,0.7875,3.1739
