Date,Stock:Close:00003,Stock:Close:00101,Stock:Close:00338,Stock:Close:01083,Stock:Close:02800,Stock:Divident:00003,Stock:Divident:00101,Stock:Divident:00338,Stock:Divident:01083,Stock:Divident:02800,Stock:pd:00003,Stock:pd:00101,Stock:pd:00338,Stock:pd:01083,Stock:pd:02800
230627,6.709,12.185,1.23,3.37,19.48,0.35,0.78,0.1,0.15,0.66,5.2169,6.4013,8.1301,4.451,3.3881
230628,6.7286,12.126,1.23,3.35,19.53,0.35,0.78,0.1,0.15,0.66,5.2017,6.4325,8.1301,4.4776,3.3794
230629,6.6013,11.8116,1.22,3.34,19.27,0.35,0.78,0.1,0.15,0.66,5.302,6.6037,8.1967,4.491,3.425
230630,6.6307,11.8902,1.23,3.48,19.25,0.35,0.78,0.1,0.15,0.66,5.2785,6.56,8.1301,4.3103,3.4286
230703,6.6796,12.0474,1.25,3.5,19.64,0.35,0.78,0.1,0.15,0.66,5.2398,6.4744,8,4.2857,3.3605
230704,6.6111,11.9688,1.24,3.48,19.76,0.35,0.78,0.1,0.15,0.66,5.2941,6.5169,8.0645,4.3103,3.3401
230705,6.5817,11.8705,1.23,3.45,19.47,0.35,0.78,0.1,0.15,0.66,5.3178,6.5709,8.1301,4.3478,3.3898
230706,6.4348,11.5954,1.21,3.34,19.02,0.35,0.78,0.1,0.15,0.66,5.4392,6.7268,8.2645,4.491,3.47
230707,6.3074,11.3399,1.21,3.33,18.86,0.35,0.78,0.1,0.15,0.66,5.549,6.8784,8.2645,4.5045,3.4995
230710,6.2291,11.3792,1.21,3.37,18.98,0.35,0.78,0,0.15,0.66,5.6188,6.8546,0,4.451,3.4773
230711,6.2487,11.5364,1.19,3.35,19.14,0.35,0.78,0,0.15,0.66,5.6012,6.7612,0,4.4776,3.4483
230712,6.2487,11.3595,1.18,3.39,19.36,0.35,0.78,0,0.15,0.66,5.6012,6.8665,0,4.4248,3.4091
230713,6.3466,11.4971,1.19,3.45,19.85,0.35,0.78,0,0.15,0.66,5.5148,6.7843,0,4.3478,3.3249
230714,6.3858,11.4775,1.2,3.7,19.9,0.35,0.78,0,0.15,0.66,5.4809,6.7959,0,4.0541,3.3166
230718,6.2879,11.1434,1.15,3.5,19.51,0.35,0.78,0,0.15,0.66,5.5662,6.9997,0,4.2857,3.3829
230719,6.2976,11.0058,1.12,3.43,19.44,0.35,0.78,0,0.15,0.66,5.5577,7.0872,0,4.3732,3.3951
230720,6.3368,11.3006,1.12,3.42,19.4,0.35,0.78,0,0.15,0.66,5.5233,6.9023,0,4.386,3.4021
230721,6.2879,11.3399,1.13,3.4,19.59,0.35,0.78,0,0.15,0.66,5.5662,6.8784,0,4.4118,3.3691
230724,6.2389,10.9075,1.13,3.64,19.16,0.35,0.78,0,0.15,0.66,5.61,7.151,0,4.1209,3.4447
230725,6.3368,11.3988,1.16,3.76,19.92,0.35,0.78,0,0.15,0.66,5.5233,6.8428,0,3.9894,3.3133
230726,6.3956,11.3399,1.16,3.76,19.86,0.35,0.78,0,0.15,0.66,5.4725,6.8784,0,3.9894,3.3233
230727,6.5229,11.7133,1.17,3.75,20.12,0.35,0.78,0,0.15,0.66,5.3657,6.6591,0,4,3.2803
230728,6.5425,11.7723,1.18,3.77,20.42,0.35,0.78,0,0.15,0.66,5.3496,6.6257,0,3.9788,3.2321
230731,6.5327,11.8902,1.19,3.78,20.54,0.35,0.78,0,0.15,0.66,5.3577,6.56,0,3.9683,3.2132
230801,6.5523,11.104,1.19,3.67,20.54,0.35,0.78,0,0.15,0.66,5.3416,7.0245,0,4.0872,3.2132
230802,6.3466,10.9861,1.19,3.59,19.99,0.35,0.78,0,0.15,0.66,5.5148,7.0999,0,4.1783,3.3017
230803,6.327,11.0058,1.19,3.62,19.9,0.35,0.78,0,0.15,0.66,5.5318,7.0872,0,4.1436,3.3166
230804,6.2487,10.7896,1.19,3.64,20.04,0.35,0.78,0,0.15,0.66,5.6012,7.2292,0,4.1209,3.2934
230807,6.2683,10.7699,1.19,3.65,20.04,0.35,0.78,0,0.15,0.66,5.5837,7.2424,0,4.1096,3.2934
230808,6.2193,10.7896,1.18,3.67,19.69,0.35,0.78,0,0.15,0.66,5.6276,7.2292,0,4.0872,3.352
230809,6.2683,10.8093,1.19,3.63,19.76,0.35,0.78,0,0.15,0.66,5.5837,7.216,0,4.1322,3.3401
230810,6.2683,10.7503,1.2,3.6,19.78,0.35,0.78,0,0.15,0.66,5.5837,7.2556,0,4.1667,3.3367
230811,6.2976,10.5734,1.17,3.55,19.62,0.35,0.78,0,0.15,0.66,5.5577,7.377,0,4.2254,3.3639
230814,6.1214,10.4162,1.19,3.43,19.3,0.35,0.78,0,0.15,0.66,5.7176,7.4883,0,4.3732,3.4197
